,pais,poblacion,lat,long
128,Letonia,2.217.969,57.0,25.0
179,República Democrática del Congo,70.916.439,0.0,25.0
31,Bulgaria,7.148.785,43.0,25.0
188,Rumania,21.959.278,46.0,25.0
68,Finlandia,5.244.000,64.0,26.0
65,Estonia,1.291.170,59.0,26.0
24,Bielorrusia,9.685.000,53.0,28.0
127,Lesoto,1.919.552,-29.5,28.5
149,Moldavia,4.324.000,47.0,29.0
239,Zambia,13.460.305,-15.0,30.0
240,Zimbabue,11.651.858,-20.0,30.0
187,Ruanda,11.055.976,-2.0,30.0
56,Egipto,80.471.869,27.0,30.0
209,Sudán,35.000.000,15.0,30.0
33,Burundi,9.863.117,-3.5,30.0
207,Suazilandia,1.354.051,-26.5,31.5
230,Uganda,33.398.682,1.0,32.0
229,Ucrania,45.415.596,49.0,32.0
43,Chipre,1.102.677,35.0,33.0
138,Malaui,15.447.500,-13.5,34.0
115,Israel,7.353.985,31.5,34.75
216,Tanzania,41.892.895,-6.0,35.0
154,Mozambique,22.061.451,-18.25,35.0
227,Turquía,77.804.122,39.0,35.0
63,Estado de Palestina,N/S,32.0,35.25
129,Líbano,4.125.247,33.8333,35.8333
120,Jordania,6.407.085,31.0,36.0
66,Etiopía,88.013.491,8.0,38.0
204,Siria,22.198.110,35.0,38.0
122,Kenia,40.046.566,1.0,38.0
59,Eritrea,5.792.984,15.0,39.0
238,Yibuti,740.528,11.5,43.0
73,Georgia,4.630.000,42.0,43.5
94,Irak,29.671.605,33.0,44.0
46,Comoras,773.407,-12.1667,44.25
8,Arabia Saudita,25.731.776,25.0,45.0
11,Armenia,2.968.000,40.0,45.0
146,Mayotte,N/S,-12.8333,45.1667
136,Madagascar,21.281.844,-20.0,47.0
15,Azerbaiyán,8.303.512,40.5,47.5
125,Kuwait,2.789.132,29.3375,47.6581
237,Yemen,23.495.361,15.0,48.0
205,Somalia,10.112.453,10.0,49.0
19,Baréin,738.004,26.0,50.55
39,Catar,840.926,25.5,51.25
95,Irán,76.923.300,32.0,53.0
58,Emiratos Árabes Unidos,4.975.593,24.0,54.0
186,Reunión,N/S,-21.1,55.6
201,Seychelles,88.340,-4.5833,55.6667
166,Omán,2.967.717,21.0,57.0
144,Mauricio,1.294.104,-20.2833,57.55
226,Turkmenistán,4.940.916,40.0,60.0
232,Uzbekistán,27.865.738,41.0,64.0
0,Afganistán,29.121.286,33.0,65.0
219,Territorios Australes Franceses,N/S,-43.0,67.0
121,Kazajistán,15.340.000,48.0,68.0
168,Pakistán,184.404.791,30.0,70.0
217,Tayikistán,7.487.489,39.0,71.0
218,Territorio Británico del Océano Índico,N/S,-6.0,71.5
106,Islas Heard y McDonald,N/S,-53.1,72.5167
139,Maldivas,395.650,3.25,73.0
123,Kirguistán,5.508.626,41.0,75.0
92,India,1.173.108.018,20.0,77.0
206,Sri Lanka,21.513.990,7.0,81.0
157,Nepal,28.951.852,28.0,84.0
17,Bangladés,156.118.464,24.0,90.0
34,Bután,699.847,27.5,90.5
102,Islas Cocos,N/S,-12.5,96.8333
25,Birmania,53.414.374,22.0,98.0
189,Rusia,140.702.000,60.0,100.0
214,Tailandia,67.089.500,15.0,100.0
203,Singapur,4.701.069,1.3667,103.8
36,Camboya,14.453.680,13.0,105.0
151,Mongolia,3.086.918,46.0,105.0
42,China,1.330.044.000,35.0,105.0
126,Laos,6.368.162,18.0,105.0
99,Isla de Navidad,N/S,-10.5,105.6667
235,Vietnam,89.571.130,16.0,106.0
137,Malasia,28.274.729,2.5,112.5
135,Macao,N/S,22.1667,113.55
90,Hong Kong,N/S,22.25,114.1667
30,Brunéi,395.027,4.5,114.6667
93,Indonesia,242.968.342,-5.0,120.0
215,Taiwán,22.894.384,23.5,121.0
67,Filipinas,99.900.177,13.0,122.0
220,Timor Oriental,1.154.625,-8.55,125.5167
47,Corea del Norte,22.912.177,40.0,127.0
48,Corea del Sur,48.422.644,37.0,127.5
13,Australia,21.515.754,-27.0,133.0
169,Palaos,N/S,7.5,134.5
118,Japón,127.288.000,36.0,138.0
80,Guam,N/S,13.4667,144.7833
108,Islas Marianas del Norte,N/S,15.2,145.75
171,Papúa Nueva Guinea,6.064.515,-6.0,147.0
148,Micronesia,N/S,6.9167,158.25
111,Islas Salomón,559.198,-8.0,159.0
164,Nueva Caledonia,N/S,-21.5,165.5
156,Nauru,10.065,-0.5333,166.9167
233,Vanuatu,221.552,-16.0,167.0
162,Norfolk,N/S,-29.0333,167.95
109,Islas Marshall,N/S,9.0,168.0
124,Kiribati,92.533,1.4167,173.0
165,Nueva Zelanda,4.252.277,-41.0,174.0
69,Fiyi,875.983,-18.0,175.0
228,Tuvalu,10.472,-8.0,178.0
